operator_company,well_name_number,api_number,job_type,address,longitude,latitude,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume_value,volume_units,treatment_type,acid_percent,lbs_proppant,max_treatment_pressure_psi,max_treatment_rate_bbls_per_min,details
"Continental Resources, Inc",Atlanta Federal 10-6H,33-105-02723,Acid% Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),City State IZip Code,,,2014-06-04,MD(Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,1,93,bbls,,,,500,10,"t;zJ Report of Work Done Date Work Completed D Casing or Liner D Acidizing June 4, 2014 D PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 10-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 93 Bbls Oil 48 Bbls w | PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 10-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 93 Bbls Oil 48 Bbls w 495 F N L 1305 F W L NENW 6 153 N 101 Water 299 Bbls Water 208 Bbls Field I Pool I County Gas 36 MCF Gas 17 MCF Baker Bakken Williams | Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 10-6H Before After Footages IQtr-Qtr I Section I Township I Range"
"Continental Resources, Inc",Atlanta Federal 9-6H,33-105-02724,Acid% Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),'City lState lZip Code,,,2014-06-04,MD(Ft) lVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemenl,,,,245,bbls,,,,.,9,"Ill Report of Work Done Date Work Completed D Casing or Liner D Acidizing June 4, 2014 D PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 9-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 245 Bbls Oil 414 Bbls w 495 F N L 1260 F W L NENW 6 153 N 101 Water 169 Bbls Water 334 Bbls | D PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 9-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 245 Bbls Oil 414 Bbls w 495 F N L 1260 F W L NENW 6 153 N 101 Water 169 Bbls Water 334 Bbls Field 'Pool 'County Gas 186 MCF Gas 321 MCF Baker Bakken Williams | Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Fe"
"Continental Resources, Inc. 405-234-9000 Baker",Atlanta Federal 8-6H I,33-105-02725,Acid % Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),1City lState lZip Code,,,2014-06-04,MD(Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,210,bbls,,,,500,8,"Ill Report of Work Done Date Work Completed D Casing or Liner D Acidizing June 4, 2014 D Plug Well D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 8-6H I Before After Footages IQtr-Qtr I Section I Township Range Oil 210 Bbls Oil 168 Bbls w 495 F N L 970 F WI L NWNW 6 153 N 101 Water 459 Bbls Water 354 Bbls Field Pool lcounty Gas 164 MCF Gas 195 MCF | D Plug Well D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 8-6H I Before After Footages IQtr-Qtr I Section I Township Range Oil 210 Bbls Oil 168 Bbls w 495 F N L 970 F WI L NWNW 6 153 N 101 Water 459 Bbls Water 354 Bbls Field Pool lcounty Gas 164 MCF Gas 195 MCF Baker Bakken Williams Name of Contr"
Telephone Number,Atlanta Federal 7-6H,33-105-02726,Acid% Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),lCity lState IZip Code,,,2014-06-04,MD (Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,164,bbls,,,,500,7,"Report of Work Done Date Work Completed Casing or Liner Acidizing June 4, 2014 O Plug Well D Fracture Treatment D D Ill Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. O Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 7-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 164 Bbls Oil 131 Bbls | Plug Well D Fracture Treatment D D Ill Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. O Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 7-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 164 Bbls Oil 131 Bbls w 495 F N L 925 F W L NWNW 6 153 N 101 Water 343 Bbls Water 265 Bbls Field I Pool I County Gas 127 MCF Gas 151 MCF | Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 7-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 164 Bbls Oil 131 Bbls w "
"CONTINENTAL RESOURCES, INC",ATLANTA FEDERAL 6-6H,33-105-02727,Acid% Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),Date,,,2014-02-06,MD (Ft) TVD(Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,0,barrels,,,,500,540,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD, Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lai :eral1 22005 Perforations 10858 22005 10090 PRODUCTION I CLirrent Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) Name of Zone (If Different from Pool Name) Bakken 10,858' - 22,005' Three Forks Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump !Well Status (Producing or Shut-In) ,__ I 2/6/2014 Flowing I Producing I D<te of Test Hours Tested Choke Size Oil (Bbls) Gas (MCF) !Water (Bbls) IOil Gravity-AP! (Corr.) Disposition of Gas | CLirrent Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) Name of Zone (If Different from Pool Name) Bakken 10,858' - 22,005' Three Forks Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump !Well Status (Producing or Shut-In) ,__ I 2/6/2014 Flowing I Producing I D<te of Test Hours Tested Choke Size Oil (Bbls) Gas (MCF) !Water (Bbls) IOil Gravity-AP! (Corr.) Disposition of Gas Product"
"Continental Resources, Inc",Atlanta Federal 6-6H,,,City I State IZip Code,,,2014-06-04,Top (Ft) Bottom (Ft) Fonnation,,,,70,bbls,,,,500,6,"Report of Work Done Date Work Completed Casing or Liner Acidizing June 4, 2014 D PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 6-6H Before After Footages IQtr-Qtr 'Section 'Township I Range Oil 70 Bbls Oil 56 Bbls w | PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 6-6H Before After Footages IQtr-Qtr 'Section 'Township I Range Oil 70 Bbls Oil 56 Bbls w 495 F N L 880 F W I L NWNW 6 I 1 53 N 101 Water 287 Bbls Water 221 Bbls Field Pool County Gas 54 MCF Gas 64 MCF Baker Bakken Williams | Well Name and Number 24-HOUR PRODUCTION RATE Atlanta Federal 6-6H Before After Footages IQtr-Qtr 'Section 'Township I Range Oil 70 Bbls Oil 5"
"CONTINENTAL RESOURCES, INC",ATLANTA 4-6H,,,I City I State Zip Code,103.7329,48.1094,2013-11-01,MD (Ft) lVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,0,barrels,,,,500,4,"Report of Work Done Date Work Completed Casing or Liner Acidizing June 4, 2014 I I I O PlugWell D Fracture Treatment 0 Notice of Intent to Begin a Workover Project that may Qualify O Supplemental History Ii'.) Change Production Method for a Tax Exemption PursuaInt to NDCC Section 57-51.1-03. 0 Temporarily Abandon D Reclamation Approximate Start Date I 0 Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 4-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 136 Bbls Oil 109 Bbls w | PlugWell D Fracture Treatment 0 Notice of Intent to Begin a Workover Project that may Qualify O Supplemental History Ii'.) Change Production Method for a Tax Exemption PursuaInt to NDCC Section 57-51.1-03. 0 Temporarily Abandon D Reclamation Approximate Start Date I 0 Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 4-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 136 Bbls Oil 109 Bbls w 495 F N L 635 F WI L NWNW 6 I1 53 N 101 Water 221 Bbls Water 170 Bbls Field Pool County Gas 73 MCF Gas 87 MCF Baker Bakken Williams | Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 4-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 136 Bbls Oil "
Telephone Number,Atlanta 3-6H I,33-105-02730,1Acid% I Lbs Prop pant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),lCity lState Zip Code,103.7312,48.1094,2014-06-04,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen,,,,234,bbls,,,,500,3,"Ill Report of Work Done Date Work Completed D Casing or Liner D Acidizing June 4, 2014 D PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 3-6H I Before After Footages IQtr-Qtr I Section I Township Range Oil 234 Bbls Oil 179 Bbls w 495 F N L 590 F W I L NWNW 6 153 N 101 Water 248 Bbls Water 171 Bbls Field Pool I County Gas 162 MCF Gas 186 MCF | D PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 3-6H I Before After Footages IQtr-Qtr I Section I Township Range Oil 234 Bbls Oil 179 Bbls w 495 F N L 590 F W I L NWNW 6 153 N 101 Water 248 Bbls Water 171 Bbls Field Pool I County Gas 162 MCF Gas 186 MCF Baker Bakken Williams Name of Contractor(s) | Wel"
"CONTINENTAL RESOURCES, INC",ATLANTA 2-6H,33-105-02731,Acid% Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),City 'State lZip Code,,,2013-10-27,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,0,barrels,,,,500,2,"Ill Report of Work Done Date Work Completed D Casing or Liner 0 Acidizing June 4, 2014 O O Plug Well Fracture Treatment 0 D Ill Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D 0 Temporarily Abandon Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 2-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 95 Bbls Oil 76 Bbls | Plug Well Fracture Treatment 0 D Ill Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D 0 Temporarily Abandon Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 2-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 95 Bbls Oil 76 Bbls w 495 F N L 545 F WI L NWNW 6 I1 53 N 101 Water 205 Bbls Water 158 Bbls Field Pool County Gas 39 MCF Gas 47 MCF | Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 2-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 95 Bbls Oil 76 Bbls w 495 F N L 545 F WI L NWNW 6"
Telephone Number,ATLANTA 1-6H,33-105-02732,1Acid% I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),City 1State lZip Code,103.73,48.11,2014-06-04,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen1 •,,,,173,bbls,,,,500,1,"Ill Report of Work Done Date Work Completed D Casing or Liner D Acidizing June 4, 2014 D PlugWell D Fracture Treatment D D Ill Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 1-6H I I Before After Footages lQtr-Qtr 'Section Township Range Oil 173 Bbls Oil 138 Bbls w | PlugWell D Fracture Treatment D D Ill Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 1-6H I I Before After Footages lQtr-Qtr 'Section Township Range Oil 173 Bbls Oil 138 Bbls w 495 F N L 500 F WI L NWNW 6 I1 53 N 101 Water 224 Bbls Water 173 Bbls Field Pool County Gas 107 MCF Gas 127 MCF Baker Bakken Williams | Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 1-6H I I Before After Footages lQtr-Qtr 'Section Township Range Oil 173 Bbls Oil 138 Bbls "
!Telephone Number,Cc lumbus Federal 1-16H NESE McKenzie,33-053-04852,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2019-01-04,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,7,48693,barrels,,,,0,673,"16H they looked at the particular well location again and this time told us that in order to safely operate a jet pump on this well we will need an additional vessel placed near the wellhead. This vessel is being refurbished and will not be ready until the first or second week of March. At that time, we will be ready to turn on the jet pump. This vessel is needed because the facility is on a different pad from the well. In the mean time we will be building containment for this vessel. Thank you, Matt LaVoie Production Engineer 1 | Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 21276 Perforations 11371 21276 10562 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Bakken 11,371' - 21,276 Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump I Well Status (Producing or Shut-In) I 7/17/2013 Flowing Producing Date of Test Hours Tested Choke Size Oil (Bbls) I Gas (MCF) I"
Continental Resources Inc,Tallahassee 3-16H 101 McKenzie,33-053-04853,1Acid% Lbs Proppant 'Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2014-03-14,Top (Ft) Bottom (Ft) Fonnation,,,,64952,barrels,,,,500,,"Well Soecific Stimulations I Date Stimulated 'Stimulated Formation Top (Ft) I Bottom (Ft)IStimulation Stages I Volume !Volume Units 3/14/2014 Three Forks I 10830 18434 24 64952 Barrels Type Treatment 1Acid% Lbs Proppant 'Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min) Sand Frac 2829582 8491 31.0 Details Pumped 89291# 40/70 mesh, 1970321# 20/40 sand and 769970# 20/40 ceramic. Date Stimulated !Stimulated Formation I Top (Ft) I Bottom (Ft)IStimulation Stages I Volume !Volume Units Type Treatment 'Acid% I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min) Details Date Stimulated !Stimulated Formation I Top (Ft) I Bottom (Ft)IStimulation Stages I Volume !Volume Units I Type Treatment 'Acid% Lbs Proppant 'Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min) Details I I | Date Stimulated 'Stimulated Formation Top (Ft) I Bottom (Ft)IStimulation Stages I Volume !Volume Units 3/14/2014 Three Forks I 10830 18434 24 64952 Barrels Type Treatment 1Acid% Lbs Proppant 'Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min) Sand Frac 2829582 8491 31.0 Details Pumped 89291# 40/70 mesh, 1970321# 20/40 sand and 769970#"
"CONTINENTAL RESOURCES, INC",TALLAHASSEE 2-16H,33-053-04854,1Acid% Lbs Proppant I Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2015-12-29,Drill Stem Test,,,,21,gallons,,,,1,657,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD,Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) Top Bottom (MD Ft) (MD Ft) Lateral1 18127 Perforations 11080 18127 10099 3150 3/13/2014 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Bakken 11,080'/18, 127' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump !Well Status (Producing or Shut-In) 4/25/2014 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) !Water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Production for Test | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Bakken 11,080'/18, 127' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump !Well Status (Producing or Shut-In) 4/25/2014 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) !Water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Product"
"CONTINENTAL RESOURCES, INC",COLUMBUS FEDERAL 2-16H,33-053-04855,IAcid % I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2014-02-27,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemenl,,,,15,barrels,,,,1,541,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lateral1 13133 Perforations 10850 13133 10135 1922 2/27/2014 Sidetrack1 23475 Open Hole 12488 23475 12488 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Bakken 10,850'/23,475' Three Forks Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) 5/3/2014 Flowing I Producing | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Bakken 10,850'/23,475' Three Forks Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) 5/3/2014 Flowing I Producing Date of Test I Hours Tested Choke Size Oil (Bbls) Gas (MCF) 1water (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Production for Test 5/4/2014 24 16 /64 541 387 815 40.0 ° Sold Flowing Tubing Pres"
Telephone Number,Columbus Federal 3-16H SENE 16 153 N 101 McKenzie,33-053-04856,1Acid% I Lbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2013-08-10,Top (Ft) I Bottom (Ft)IBH Temp (°F) ICL ppm IH2S ppm I Shut-in 1 (PSIG) I Shut-in 2 (PSIG),,,,74589,barrels,,,,500,749,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD,Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) Top Bottom (MD Ft) (MD Ft) Lateral1 23122 Perforations 10968 23122 10070 1680 12/29/2013 PRODUCTION Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Bakken 10,968'/23,122' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) 5/3/2014 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) IWater (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Production for Test | Current Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) I Name of Zone (If Different from Pool Name) Bakken 10,968'/23,122' Date Well Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump IWell Status (Producing or Shut-In) 5/3/2014 Flowing Producing Date of Test I Hours Tested Choke Size Oil (Bbls) I Gas (MCF) IWater (Bbls) IOil Gravity-AP! (Corr.) I Disposition of Gas Production"
Telephone Number,Colville 5301 44-12T,,!Acid% ILbs Proppant I Maximum Treatment Pressure (PSI) I Maximum Treatment Rate (BBLS/Min),City State Zip Code,,,2013-11-30,MD(Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,95801,barrels,,,,1,5301,"Report of Work Done Date Work Completed Casing or Liner Acidizing November 30, 2013 D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Well on pump Well Name and Number 24-HOUR PRODUCTION RATE Colville 5301 44-12T Before After Footages IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Well on pump Well Name and Number 24-HOUR PRODUCTION RATE Colville 5301 44-12T Before After Footages IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls s w 250 F L 950 F E L SESE 12 153 N 101 Water Bbls Water Bbls Field I Pool I County Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Colville 5301 44-12T Before After Footages IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls s w 250 F L "
Oasis Petroleum North America (281)404Ⅲ,Lewis Federal 5300 21-31 68,33-053-05845,Add% Lbs Proppant Maximum Treatment Pressure(PSり Maximum Treatment Rate(BBLS7Min),Ｐｏ。ｌ,,,2019-02-06,MD(Fo TVD(Ft) VVe‖ Bore Type of Pluq Too(Ft) Bottom(Fl) Sacks Cemenl,,,,311394,barrels,,7,7,3,335,"Open Hole/Perforated ＫｉＣｋｄ Casing Date PerFd Date Ｓ。‐ａｔｍ Ｓａｃｋｓ ule‖ BOre Dn‖ers Depth Com T p yp le e tion T ! O nt p | Current Producing Open Hole or Perforated lntervaKs),ThiS COmplelon,Top and Bottom,(MD Ftl Latera1 1‐ 11300ito 207971 Date VVe‖ Completed(SEE INSTRUCT10NS) Producing Method Pumping-Size & Type of PumP r'Uell Status (Producing or Shut-ln) producinq August 14,2019 flowing 創 け刹 り 鏃胤 choke Size ０ 町 GT`YCDIVVa宅 拶 G面 C甲 lwm¨ s 9r∞TStd 18 Production for Test ３３５ 64 ノ Flowing Tubing Pressure(PSり Flowing Casing Pressure(PSり Calculated OH(3bls) ＾ ０ 岬 崎 ∝ ０ Gas―Oil Ralo 2000 24-Hour Rate 335 ２。‐ ５７２ 600 | Flowing Tubing Pressure(PSり Flowing Casing Pressure(PSり Calculated OH(3bls) ＾ ０ 岬 崎 ∝ ０ Gas―Oil Ralo 2000 24-Hour Rate 335 ２。‐ ５７２ 600 | 2000 24-Hour Rate 335 ２。‐ ５７２ 600 | Date Sumulated Stimulated Formation Top(Ft) Bonom(Ft) sumuiaoon stages ヽ/olume Volume Units 07′16′ 2019 Bakken 11300 20797 40 311394 Barrels Type Treatment Add% Lbs Proppant Maximum Treatment Pressure(PSり Maximum Treatment Rate(BBLS7Min) 6052935 9176 830 Sand Frac Detans 100 Mesh:3573725 70 White:1493970 40′ 70 CRC:985240 40′ Date Slmulated Stimulated Formation Top(Ft) Bo“om(Ft) Stimulation Stages Volume"
Oasis Petroleum North America LLC,Lewis Federal 5300 21-31 58,,Add% ¨ Maximum Trearnent Pressure (PSl) Maximum Treatment Rate(8BLS′Min),（ State Zip Code,,,2019-05-03,MD(Ft) TVD(Ft) tVe‖ Bore TvDe of Pluq Top(Ft) Bottom(Ft) Sacks Cemenl,,,,323544,bbls,,,,8,8,"Stimulations Date Stimulated Stimulated Formation Top(Ftl Bottom(Fl) Stimulation Stages い ｍｅ Volume tJnits 07′ 1672019 Bakken ll180 20791 35 ３２ 印 Barrels Type Treatment Add% ¨ Maximum Trearnent Pressure (PSl) Maximum Treatment Rate(8BLS′Min) ５９９０８５３ 520 Sand Frac 89S5 Detals loo mesh:3556863 70 VVhite:1495810 40′ 70 CRC:938180 40′ Date Slmulated Stimulated Formation Top(Fl) Bonom(Ft) Stimulation Stages Volume Volume Units Type Treatment Acid% Lbs Proppant l\,laximum Treatment Pressure (PSl) Maximum T「eatment Rate(BBLS′ Min) Detals | Date Stimulated Stimulated Formation Top(Ftl Bottom(Fl) Stimulation Stages い ｍｅ Volume tJnits 07′ 1672019 Bakken ll180 20791 35 ３２ 印 Barrels Type Treatment Add% ¨ Maximum Trearnent Pressure (PSl) Maximum Treatment Rate(8BLS′Min) ５９９０８５３ 520 Sand Frac 89S5 Detals loo mesh:3556863 70 VVhite:1495810 40′ 70 CRC:938180 40′ Date Slmulated Stimulated Formation Top(Fl) Bonom(Ft) Stimulation Stages Volume Volume Units Type Treatment Acid% Lbs Proppant l\,laximum Treatment Pressure (PSl) Maximum T「eatment Rate(BBLS′ Min) Detals Date Stimulated Stimulated Formation Top(Fゅ Bottom(Ftl Stimulation Stages Volume Volume lJnits | Type Treatment Add% ¨ Maximum Trearnent "
